Department,Discipline,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,RD,SP,W,EW,TotalCount
,,,1957,PAIK-SCHOENBERG J,1,7,2,,15,,,,,,8,,33
,,,1958,BOSTICK J D,3,2,,9,,,,,,,10,,24
,,,1959,YOUNG W H,2,7,2,2,3,,,,,,4,,20
,,,1960,NELSON LAUNA A,,1,2,,13,,,,,,4,,20
,,,1961,KARRON R,10,4,1,,1,,,2,,,6,,24
,,,1962,WILL L J,6,2,1,1,9,,,,,,3,,22
,,,1963,MARTINEZ-GIL C,8,1,2,,4,,,,,,5,,20
,,,1964,HIOUREAS E C,2,1,5,1,4,,,,,,10,,23
,,,1965,HERBERT S,4,1,1,,8,,,,,,1,,15
,,,1966,ONUGHA E L,15,4,,,6,,1,2,,,3,,31
,,,1968,WRIGHT N E,8,5,,2,,,,,,,4,,19
,,,1969,ROBINSON B,23,4,1,1,2,,1,,,,1,,33
,,,1970,ENGELMANN D S,18,5,3,,2,1,,,,,4,,33
,,,1971,WILL L J,7,2,2,,9,,,1,,,3,,24
,,,1972,DOUCET W J,3,1,5,4,,,,2,,,8,,23
,,,1973,DOUCET W J,3,2,1,10,,,,2,,,5,,23
,,,1974,GARCIA M S,9,4,1,4,5,,,,,,2,,25
,,,1975,ROBINSON B,15,3,5,1,7,,,,,,2,,33
,,,1976,PRITCHARD L A,11,4,2,3,6,,,,,,4,,30
,,,1977,PRITCHARD L A,8,6,1,1,9,,,,,,8,,33
,,,1978,ENGELMANN D S,20,5,1,,1,,,,,,5,,32
,,,1979,MENTON K T,3,7,,1,,,,,,,5,,16
,,,1980,ADAMS J J,1,9,4,1,7,,,,,,8,,30
,,,1981,RAJSKI B,17,8,2,,3,,,,,,2,,32
,,,1982,JAMES K R,2,2,1,,5,,,,,,8,,18
,,,1983,JAMES K R,2,1,3,2,3,,,,,,6,,17
,,,1984,MENTON K T,2,8,2,,4,,,,,,5,1,22
,,,1985,RAJSKI B,13,2,4,1,3,,,1,,,7,,31

,,,1986,CAGGIANO S E,6,8,4,1,5,,,,,,5,,29
,,,1987,MISAGHI A M,16,3,3,2,1,,,,,,9,1,35
,,,1989,MENTON K T,2,4,4,1,4,,,,,,8,,23
,,,1990,ESPINOSA A A,7,,2,2,6,,,,,,5,,22
,,,1991,BLACKWELL N,4,,,,2,,,,,,14,,20
,,,1993,DEL GEORGE D K,4,3,1,1,4,,,1,,,4,,18
,,,1994,CRAMER T R,8,3,2,,5,,,,,,3,,21
,,,1995,CRAMER T R,7,3,2,1,2,,,,,,3,,18
,,,1996,ARIEFF D E,7,2,3,,13,,1,,,,7,,33
,,,1997,ADAMS J J,4,7,5,1,5,,,,,,10,,32
,,,1998,MENTON K T,8,5,3,,1,,,1,,,4,,22
,,,1999,MISAGHI A M,18,7,2,1,1,,,,,,4,,33
,,,2000,GRIFFY W J,8,5,1,,7,1,,,,,8,,30
,,,2001,GRIFFY W J,6,2,4,1,13,1,1,,,,2,1,31
,,,2002,VISHWANADHA H,,,2,4,7,,,,,,14,,27
,,,2003,WEATHERFORD K C,5,4,2,,,1,1,,,,9,1,23
,,,2004,WEATHERFORD K C,3,5,4,,1,,,,,,9,,22
,,,2005,CARDENAS T P,10,1,1,3,,,,,,,3,,18
,,,2006,MATTESSICH S N,10,9,2,2,6,,,,,,5,,34
,,,2007,MATTESSICH S N,10,4,4,1,9,,,,,,3,2,33
,,,2008,JAMES K R,3,6,2,1,3,,,,,,8,,23
,,,2009,BLACKWELL N,5,3,,,5,,,,,,10,,23
,,,2010,BONAR H S,7,3,3,2,3,,,,,,5,,23
,,,2011,VISHWANADHA H,,,5,5,14,,,,,,1,,25
,,,2012,STIRLING M S,1,4,4,3,4,,,,,,5,,21
,,,2013,CAGGIANO S E,6,4,2,,10,,,2,,,9,,33
,,,2014,DEL GEORGE D K,7,5,2,1,3,,,,,,3,,21
,,,2015,MENTON K T,3,3,2,,1,,,,,,9,,18
,,,3500,ANDERSON E,5,3,4,5,5,,1,,,,1,,24
,,,3509,MEYER E E,3,4,,1,7,,2,3,,,3,,23
,,ENGL    2,2017,KAUFFMAN S R,10,1,,,,,,13,,,,,24
,,,2018,WINKLER K D,6,3,3,2,1,,,,,,6,,21
,,,2021,OVERALL S J,2,4,3,6,,,,,,,7,,22
,,,2022,BELL S L,6,4,1,,5,,,,,,2,,18

,,,2023,MARTINEZ-GIL C,10,1,3,,8,,,,,,1,,23
,,,2024,ANDERSON E,7,10,3,,1,,,,,,2,,23
,,,2025,LIVANIS L,,6,4,2,5,,1,,,,4,,22
,,,2026,PADILLA M R,6,7,3,1,2,,,1,,,5,,25
,,,2027,IRELAND S P,6,,4,3,1,,1,1,,,6,,22
,,,2028,MARTINEZ-GIL C,7,4,2,,5,,,,,,6,,24
,,,2029,DRISCOLL L V,5,12,1,,,,,,,,3,,21
,,,2030,HASSMAN T,9,2,1,,3,,,1,,,4,2,22
,,,2031,HAMADA M J,8,6,1,,1,,,,,,5,,21
,,,2032,KAUFFMAN S R,17,1,,,,,,7,,,1,,26
,,,2033,WINKLER K D,7,8,1,1,1,,,,,,4,,22
,,,2034,DIXON M J,8,4,,,10,,,,,,3,,25
,,,2035,OVERALL S J,,8,3,1,1,,,,,,11,,24
,,,2036,BELL S L,11,3,1,,2,,,,,,2,,19
,,,2037,YOUNG W H,2,7,4,2,3,,1,,,,2,,21
,,,2038,LIVANIS L,3,7,2,3,6,,,,,,2,,23
,,,2039,ARMS E D,12,6,1,,,,,,,,3,,22
,,,2040,EDELMANN C,6,3,8,2,,,,,,,4,,23
,,,2042,IRELAND S P,16,5,,1,,,,,,,1,,23
,,,2043,KAUFFMAN S R,20,2,,,,,,3,,,1,,26
,,,2044,EDELMANN C,8,7,5,,1,,,,,,4,,25
,,,2045,OBA R K,9,4,,4,,1,,,,,3,,21
,,,2046,DIXON M J,9,5,1,1,6,,,,,,,,22
,,,2047,HERTZ U L,1,6,7,,1,,,,,,8,,23
,,,2048,MEEKS C,6,7,5,1,,,,,,,5,,24
,,,2049,JOHNSON D J,6,9,2,1,4,,,,,,2,,24
,,,2050,KEMPER D E,14,2,3,1,1,,1,1,,,2,,25
,,,2051,DOUCET W J,10,10,5,,,,,3,,,1,,29
,,,2052,DAVIS C V,2,1,2,1,1,,,,,,8,,15
,,,2054,EDELMANN C,5,9,4,,,,,,,,4,,22
,,,2055,OVERALL S J,2,4,,2,,,,,,,14,,22
,,,2056,BELL S L,7,3,2,3,3,,,,,,4,,22
,,,2058,SOSNER J A,5,9,1,,3,1,,,,,4,,23
,,,2059,ROBINSON B,22,,,,1,,,,,,1,,24

,,,2060,KARRON R,11,5,,,,,,3,,,5,,24
,,,2061,MEEKS C,8,2,1,2,1,,1,,,,6,,21
,,,2062,JOHNSON D J,6,9,3,2,4,,,,,,1,,25
,,,2063,KEMPER D E,9,2,,,7,,,,,,3,,21
,,,2064,HALL J E,8,5,2,,1,,,1,,,3,,20
,,,2065,BARHAM A C,20,,,1,2,,,,,,2,,25
,,,2068,MATTESSICH S N,4,7,1,2,2,,,,,,5,,21
,,,2069,MURPHY E M,17,2,1,,,,,,,,2,,22
,,,2071,KEMPER D E,12,4,1,,,,1,1,,,1,,20
,,,2073,ROBINSON B,15,3,2,1,,,,,,,1,,22
,,,2074,GARCIA M S,14,2,2,,,,,,,,2,,20
,,,2075,MURPHY E M,15,2,2,,,,,,,,3,,22
,,,2076,IRELAND S P,18,3,2,,2,,,,,,1,,26
,,,2077,DAVISON  IV G S,11,2,1,1,5,,,,,,1,,21
,,,2078,RAJSKI B,24,1,,,,,,,,,,,25
,,,2079,RAJSKI B,13,7,2,,1,,1,,,,2,,26
,,,2080,YOUNG W H,1,6,4,,2,,,,,,3,,16
,,,2081,DEL GEORGE D K,10,8,3,2,1,,,,,,2,,26
,,,2082,REMMES J,1,4,3,1,1,1,,,,,9,,20
,,,2083,CRAMER T R,21,3,1,,,,,,,,,,25
,,,2084,CRAMER T R,8,10,2,1,1,,,,,,2,,24
,,,2085,HERTZ U L,1,5,1,1,,,,,,,2,,10
,,,2086,CARDENAS T P,16,4,1,1,,,,,,,1,,23
,,,2087,DEL GEORGE D K,13,5,,2,,,,,,,2,,22
,,,2088,PHILLIPS L K,9,5,1,,,,,,,,8,,23
,,,2089,ENGELMANN D S,14,4,3,,,,,,,,1,,22
,,,2090,JANAKOS L D,2,5,,2,8,,1,,,,4,,22
,,,2091,JANAKOS L D,9,6,1,1,4,,,,,,1,,22
,,,2092,SCHNITZLER A P,14,2,,5,,,,1,,,3,,25
,,,2093,BLACKWELL N,6,2,1,2,3,,,1,,,4,,19
,,,2094,BLACKWELL N,8,3,1,1,1,,,3,,,6,,23
,,,2095,VISHWANADHA H,2,,4,3,1,,1,,,,9,,20
,,,2096,MEIR N K,10,6,1,,,,,,,,1,,18
,,,2097,MEIR N K,11,8,2,,,,,,,,1,1,23

,,,2098,MEIR N K,7,8,2,,,,,2,,,1,,20
,,,2099,PRITCHARD L A,11,3,,,5,1,,,,,2,,22
,,,2100,PRITCHARD L A,9,2,2,,4,,,,,,5,,22
,,,2101,MISAGHI A M,19,,3,,,,1,,,,2,,25
,,,2102,GOODE S S,11,5,5,,,,,,,,,,21
,,,2103,ADAMS J J,4,4,2,,4,,,,,,3,,17
,,,2104,MISAGHI A M,7,7,1,3,2,,,1,,,3,,24
,,,2105,REMMES J,4,2,4,,2,,,,,,6,,18
,,,2106,GOODE S S,9,5,2,,,,,,,,3,,19
,,,2107,HOTSINPILLER MATT,6,5,2,,1,,,1,,,5,1,21
,,,2108,BONAR H S,9,5,3,,1,,,,,,5,,23
,,,2109,BONAR H S,9,8,2,1,1,,,,,,2,,23
,,,2110,PHILLIPS L K,5,5,1,1,,,,,,,6,,18
,,,2111,ARIEFF D E,6,9,3,1,2,,,,,,,,21
,,,2112,ARIEFF D E,6,4,4,,3,,1,,,,5,,23
,,,2113,PHILLIPS L K,6,2,2,1,,,,,,,6,,17
,,,3510,NELSON P M,20,2,,,,,,,,,1,,23
,,,4085,PADILLA M R,9,3,1,,1,,,,,,7,,21
,,,4086,ENGELMANN D S,11,4,2,1,1,,,,,,3,,22
,,,4087,HAMADA M J,11,1,1,,2,,,1,,,2,,18
,,,4088,HAMADA M J,11,3,2,,1,,,,,,3,,20
,,ENGL    3,4089,DOUCET W J,20,2,1,,,,,2,,,4,,29
,,ENGL    5,2114,DURAN A,9,3,3,,,,,,,,2,,17
,,,2115,HALL J E,18,10,2,,1,,,,,,3,,34
,,ENGL    6,2116,DRISCOLL L V,13,,,,,,,,,,,,13
,,,4090,MATTESSICH S N,10,2,,,1,,,,,,,,13
,,ENGL    7,2117,ONUGHA E L,24,3,,,2,,,,,,4,,33
,,ENGL    8,2118,ARMS E D,12,1,,,1,,,,,,,,14
,,ENGL   10,2120,GRIFFY W J,13,8,2,,2,,1,1,,,4,,31
,,ENGL   14,2121,ADAMS J J,10,5,2,2,1,1,,,,,3,,24
,,ENGL   15,2122,MURPHY E M,25,3,1,1,,,,,,,3,,33
,,ENGL   20,2123,DAVISON  IV G S,5,1,2,1,7,,1,,,,4,,21
,,,2124,DAVISON  IV G S,8,3,,,5,,1,,,,4,,21
,,ENGL   23,2125,GARCIA M S,7,3,1,,5,2,,,,,1,,19

,,ENGL   24,2126,HIOUREAS E C,9,3,1,2,1,1,,,,,4,,21
,,ENGL   26,2127,REMMES J,1,,,,,,,,,,,,1
,,ENGL   28,2128,KRUG J M,,,,,,14,9,,,,2,,25
,,,2129,LIVANIS L,,,,,,10,7,,,,6,,23
,,,2130,BOSTICK J D,,,,,,5,3,1,,,13,,22
,,,2131,HIOUREAS E C,,,,,,7,4,,,,11,,22
,,,2132,HERBERT S,,,,,,9,9,,,,2,,20
,,,2134,SCHNITZLER A P,,,,,,11,7,,,,6,,24
,,,2135,DURAN A,,,,,,6,9,4,,,5,,24
,,,2136,GARNICA A M,,,,,,2,11,,,,9,,22
,,,2137,BARHAM A C,,,,,,10,6,,,,8,,24
,,,2138,LIVANIS L,,,,,,6,7,,,,8,,21
,,,2139,NELSON LAUNA A,,,,,,3,13,,,,4,,20
,,,2140,HIOUREAS E C,,,,,,8,5,,,,10,,23
,,,2142,WRIGHT N E,,,,,,13,2,,,,4,,19
,,,2143,DOUCET W J,,,,,,9,4,2,,,8,,23
,,,2144,DOUCET W J,,,,,,6,10,2,,,5,,23
,,,2145,JAMES K R,,,,,,5,5,,,,8,,18
,,,2146,JAMES K R,,,,,,6,5,,,,6,,17
,,,2148,ESPINOSA A A,,,,,,9,8,,,,5,,22
,,,2149,HERBERT S,,,,,,6,8,,,,2,,16
,,,2150,BLACKWELL N,,,,,,4,2,,,,14,,20
,,,2152,WEATHERFORD K C,,,,,,12,6,,,,4,,22
,,,2153,WEATHERFORD K C,,,,,,12,1,,,,9,1,23
,,,2154,WEATHERFORD K C,,,,,,12,1,,,,9,,22
,,,2155,CARDENAS T P,,,,,,12,3,,,,3,,18
,,,2156,JAMES K R,,,,,,11,4,,,,8,,23
,,,2157,BLACKWELL N,,,,,,8,5,,,,10,,23
,,ENGL   30A,2158,PADILLA M R,17,1,,,1,1,,,,,2,,22
,,,2159,HASSMAN T,17,2,,,2,,,,,,5,,26
,,,4091,PADILLA M R,13,4,,,,,,,,,3,,20
,,ENGL   30B,2160,PADILLA M R,6,,,,,,,,,,,,6
,,,4092,ARIEFF D E,6,2,1,1,2,,,,,,6,,18
,,,4093,PADILLA M R,5,,,,,,,,,,1,,6

,,ENGL   31,2161,CAGGIANO S E,9,4,,,2,,1,,,,4,,20
,,ENGL   41,2163,DAVISON  IV G S,18,2,1,,4,,1,,,,4,1,31
,,ENGL   50,2164,HIOUREAS E C,15,5,1,2,5,,,,,,5,,33
,,ENGL   52,2165,DEL GEORGE D K,6,,,1,,1,,,,,,,8
,,ENGL   53,2166,ESPINOSA A A,3,5,2,6,,1,,,,,7,,24
,,ENGL   59,2167,OBA R K,7,2,,3,,,,,,,3,,15
,,ENGL   61,2168,CRAMER T R,14,,2,,6,,,,,,4,,26
,,ENGL   300,5002,HERBERT S,19,2,,,,,,,,,,,21
,HUM,HUM    26,2410,REMMES J,6,8,4,,1,1,,,,,6,,26
,,HUM    88B,2412,MEYER E E,1,,,,,,,,,,,,1
,REL ST,REL ST 52,3147,DEL GEORGE D K,18,5,2,,1,,,,,,,,26
ESL,ESL,ESL    10G,2179,KOENIG GOLOMBEK,6,6,4,1,,,,,,,1,,18
,,,4096,YENSER S J,6,,3,,1,1,,,,,1,,12
,,ESL    10W,2180,ALLIE S M,4,4,6,,1,,,,,,,,15
,,,4097,STIVENER M,7,3,5,1,2,1,,,,,,,19
,,ESL    11A,2181,KAHN A B,2,6,6,,1,,1,,,,1,,17
,,,2182,MARASCO J A,7,8,5,1,,2,1,,,,1,,25
,,,4098,GRAZIADEI K N,7,8,5,1,,,,,,,2,,23
,,ESL    14B,2184,SPECTOR A L,16,5,,,,,,,,,1,,22
,,ESL    15,2185,BOSTWICK L H,16,2,,,,,,,,,1,,19
,,ESL    16A,2186,STIVENER M,11,2,,,3,1,1,,,,2,,20
,,ESL    16B,2187,KUNIMOTO T A,8,5,3,1,,,1,,,,2,,20
,,ESL    16C,2188,YENSER S J,12,8,1,1,2,,1,,,,2,,27
,,ESL    19A,2189,IBARAKI A T,2,6,6,2,1,4,1,,,,1,,23
,,,2191,ALLIE S M,8,6,3,4,2,1,,,,,1,,25
,,,2193,GRAZIADEI K N,8,8,3,2,,3,,,,,,,24
,,,4099,GRAZIADEI K N,8,3,6,2,,,,,,,2,,21
,,,4298,KIM E,1,3,5,,3,3,,,,,1,,16
,,ESL    19B,2195,ALLIE S M,2,4,,2,1,3,,,,,5,,17
,,,2196,KIM E,3,6,3,1,4,3,,,,,,,20
,,,2197,KAHN A B,3,5,1,1,2,8,2,,,,2,,24
,,,2198,LEVEQUE V F,11,8,3,,1,1,,,,,1,,25
,,,2199,WOLFE R A,3,3,3,3,4,3,1,,,,,,20
,,,4100,LEVEQUE V F,12,4,3,,1,1,,,,,2,,23

,,ESL    20A,2200,IBARAKI A T,9,4,1,,1,,,,,,2,,17
,,ESL    20B,2201,MARASCO J A,1,5,,,,,,,,,,,6
,,ESL    28,2202,IBARAKI A T,8,1,3,,2,,,,,,1,,15
Health Sciences,HEALTH,HEALTH 61,2345,AVILA R A,31,6,2,1,,1,,,,,3,,44
,NURSNG,NURSNG  1,2853,FLORES B B,2,27,6,1,1,,,,,,2,,39
,,NURSNG  1L,2855,MAYORGA A,,,,,,9,1,,,,,,10
,,,2856,FLORES B B,,,,,,9,1,,,,,,10
,,,2857,UDEOZOR VA,,,,,,10,,,,,,,10
,,,3417,NUNEZ M G,,,,,,7,,,,,2,,9
,,NURSNG  2,2858,FLORES B B,1,13,16,2,,,,,,,1,,33
,,NURSNG  2L,2859,FLORES B B,,,,,,8,1,,,,,,9
,,,2860,ALVARADO R,,,,,,7,1,,,,,,8
,,,2861,ISLAS V I,,,,,,8,,,,,1,,9
,,,2862,FARQUHARSON N F,,,,,,7,,,,,,,7
,,NURSNG  3,3313,MOOSA L,3,27,7,,,,,,,,1,,38
,,NURSNG  3L,3295,ISLAS V I,,,,,,10,,,,,,,10
,,,3296,SMITH J M,,,,,,8,,,,,,,8
,,,3297,MOOSA L,,,,,,10,,,,,,,10
,,,3298,ALVARADO R,,,,,,9,,,,,1,,10
,,NURSNG  4,3308,UDEOZOR VA,7,27,5,,,,,,,,,,39
,,NURSNG  4L,3309,HAWK E Y,,,,,,10,,,,,,,10
,,,3310,HAWK E Y,,,,,,10,,,,,,,10
,,,3311,PEREZ W A,,,,,,9,,,,,,,9
,,,3312,UDEOZOR VA,,,,,,10,,,,,,,10
,,NURSNG  5,2864,KHOJA A M,,19,10,,,,,,,,,,29
,,NURSNG  5L,2866,DIAZ C Y,,,,,,8,,,,,,,8
,,,2867,KHOJA A M,,,,,,8,,,,,,,8
,,,2868,JOSE JI,,,,,,7,,,,,,,7
,,,2869,KAMAKIA D,,,,,,6,,,,,,,6
,,NURSNG  6,2873,MORRISON S,,9,6,1,,,,,,,,,16
,,,2874,MORRISON S,3,6,4,,,,,,,,,,13
,,NURSNG  6L,2877,SMITH D L,,,,,,6,,,,,1,,7
,,,2878,MORRISON S,,,,,,7,1,,,,,,8
,,,2880,SMITH D L,,,,,,6,,,,,,,6

,,,3349,MORRISON S,,,,,,8,,,,,,,8
,,NURSNG  7,2883,ADLER E,4,9,2,,,,,,,,,,15
,,,2884,ADLER E,1,13,,,,,,,,,,,14
,,NURSNG  7L,2887,ADLER E,,,,,,5,,,,,1,,6
,,,2888,ADLER E,,,,,,4,,,,,1,,5
,,,3347,ABATAY V,,,,,,10,,,,,,,10
,,,3348,ABATAY V,,,,,,10,,,,,,,10
,,NURSNG 17,2899,UDEOZOR VA,1,14,2,1,,,1,,,,4,,23
,,,2900,KHOJA A M,7,20,10,,,,,,,,4,,41
,,NURSNG 36,2901,MOOSA L,25,7,3,,,,,,,,4,,39
,,,2902,MOOSA L,19,8,3,2,3,,,,,,2,,37
,,NURSNG 900,7053,FLORES B B,,,,,,,,,,,2,,2
,,,7054,MOOSA L,,,,,,,,,,,1,,1
,,,7056,FLORES B B,,,,,,,,,,,1,,1
,RC,RC       6,3314,SANTANA S A,,12,3,,,,,,,,,,15
,,RC      6L,3315,DIZON B M,2,2,1,,,,,,,,,,5
,,,3316,GARCIA HE,1,3,1,,,,,,,,,,5
,,,3318,DARTT M,2,2,1,,,,,,,,,,5
,,RC       7,3319,AVILA R A,11,4,,,,,,,,,,,15
,,RC      7L,3320,SANTANA S A,1,4,,,,,,,,,,,5
,,,3321,SAHAM R J,,5,,,,,,,,,,,5
,,,3323,ACEVEDO J O,1,4,,,,,,,,,,,5
,,RC       8,3324,ROTHFELD A F,,,,,,,,,15,,,,15
History,ENVRN,ENVRN  14,2173,COWAN W,11,5,5,1,1,,,,,,5,1,29
,,ENVRN  32,2175,FOUSER D C,10,1,3,,6,,2,,,,2,,24
,HIST,HIST    1,2346,BENNETT H M,26,1,,,,,,,,,2,,29
,,,2347,BENNETT H M,21,8,6,,4,,,,,,5,,44
,,,2348,BENNETT H M,14,7,4,1,7,1,,,,,7,,41
,,,2349,BENNETT H M,16,6,5,1,10,,,,,,5,,43
,,,2350,BYRNE D,9,12,3,6,5,1,1,1,,,4,,42
,,,2351,BYRNE D,14,10,6,1,5,,,,,,4,,40
,,,2352,VERLET M C,6,5,7,,7,2,,,,,6,,33
,,,2353,VERLET M C,5,6,2,,1,,,,,,8,,22
,,,3442,STILES C L,12,9,2,,3,1,1,,,,10,,38

,,HIST    2,2354,SIMON R,22,8,2,4,3,1,,,,,3,,43
,,,2355,GARCIA R M,8,5,1,,7,,1,,,,2,,24
,,,2356,STILES C L,21,9,5,1,2,2,,,,,4,,44
,,,2357,STILES C L,15,8,8,1,5,1,,,,,4,,42
,,,2358,STILES C L,15,6,3,2,5,2,,,,,8,,41
,,,2360,KENT M L,21,3,1,1,,,,,,,3,,29
,,,2361,KENT M L,16,3,3,2,,,,,,,1,,25
,,HIST    4,2362,STILES C L,21,4,2,1,2,,,,,,5,,35
,,HIST    5,2363,GARCIA R M,9,2,,,6,,,,,,4,,21
,,HIST   10,2364,MAYNC T M,3,4,4,,5,,,,,,5,,21
,,,2365,REMOLLINO B,20,6,2,1,4,,,,,,9,,42
,,,2366,MAYNC T M,12,10,5,,7,,,,,,6,,40
,,,2367,REMOLLINO B,22,7,5,2,4,,,,,,5,,45
,,,2368,COWAN W,17,12,2,2,2,,,,,,8,,43
,,,2369,CRUZ J S,10,4,5,5,6,,,,,,11,,41
,,,2371,CRUZ J S,10,4,2,2,3,,,,,,9,,30
,,,2373,SLAUGHTER M A,17,12,2,,4,,2,,,,8,,45
,,,2374,AMERIAN-DONNELL S,16,11,7,2,,,,,,,4,,40
,,,2375,AMERIAN-DONNELL S,5,16,10,1,3,,,,,,5,,40
,,,3382,SKRIABIN G,21,7,1,1,4,1,1,,,,4,1,41
,,,3383,SKRIABIN G,17,8,4,4,6,,,,,,,,39
,,HIST   11,2376,REILLY B J,7,4,1,,,3,1,,,,16,,32
,,,2377,CHI J S,13,16,1,,7,1,1,1,,,2,,42
,,,2378,GOLDER L,21,5,5,1,1,,1,,,,7,,41
,,,2379,LYNCH S H,9,8,5,2,3,,,,,,5,,32
,,,2380,MCMILLEN R,34,6,,,1,,,,,,,,41
,,,2381,REILLY B J,16,3,1,1,2,,,,,,17,,40
,,,2382,LYNCH S H,14,14,5,,1,1,,,,,4,,39
,,,2383,SIMON R,38,7,1,1,1,,1,,,,1,,50
,,,3444,GOLDER L,19,6,2,2,12,,1,,,,1,1,44
,,HIST   12,2384,AMERIAN-DONNELL S,20,1,,1,2,,,,,,1,,25
,,,2385,MANOFF R J,22,11,,,2,2,1,,,,2,,40
,,,2386,AMERIAN-DONNELL S,17,9,3,,1,2,,,,,9,,41
,,,2387,GOLDER L,21,5,4,3,7,1,,,,,1,,42

,,,2389,VANBENSCHOTEN W,16,3,3,,9,1,1,,,,2,,35
,,,2390,BOLELLI D,29,11,1,,1,1,,,,,3,,46
,,,2391,VANBENSCHOTEN W,8,7,3,2,4,,,,,,9,,33
,,HIST   14,2392,COWAN W,8,4,1,1,,,,,,,2,,16
,,HIST   16,2395,CLAYBORNE D,8,2,1,1,1,,,,,,11,,24
,,,2396,MCMILLEN R,23,3,1,,3,,,,,,5,,35
,,HIST   20,2397,VANBENSCHOTEN W,14,2,3,2,6,,,,,,8,,35
,,HIST   22,2398,YEGANEHSHAKIB R,26,2,3,,2,,,,,,2,,35
,,HIST   25,2399,REILLY B J,8,1,,,,,,,,,8,,17
,,HIST   28,2400,BENNETT H M,15,7,5,,1,,2,,,,6,,36
,,HIST   32,2401,FOUSER D C,5,2,,,3,,,,,,4,1,15
,,HIST   33,2403,REILLY B J,18,3,1,1,1,,,1,,,11,,36
,,HIST   34,2404,YEGANEHSHAKIB R,26,5,3,,2,,,,,,3,,39
,,HIST   41,2405,BOLELLI D,23,6,5,,4,,,,,,6,,44
,,HIST   42,2406,CRUZ J S,17,2,1,2,6,1,3,,,,6,,38
,,HIST   53,2407,BOLELLI D,18,8,7,,3,,1,,,,3,,40
Kinesiology and Athletics,HEALTH,HEALTH 10,2337,STRONG L M,16,3,3,,2,,,1,,,14,,39
,,,2338,STRONG L M,20,7,1,,,1,,,,,12,,41
,,,2339,ESKRIDGE B M,33,4,7,,1,,,,,,2,,47
,,,2340,CHAVEZ E C,30,1,7,1,,,,,,,3,,42
,,,2342,METZLER K A,37,3,1,1,2,,,,,,1,,45
,,HEALTH 11,2343,SHIMA T H,21,,2,,5,,,1,,,3,,32
,KIN PE,KIN PE  2,2447,METZLER K A,32,6,1,1,,,,1,,,1,,42
,,KIN PE  3,2448,METZLER K A,26,2,,,9,,,3,,,3,,43
,,KIN PE  4,2449,METZLER K A,25,7,2,,6,,,,,,3,,43
,,KIN PE  5A,4144,SEYMOUR P S,4,,,,,1,,,,,,,5
,,KIN PE  5B,4145,SEYMOUR P S,6,,,,,,,,,,2,,8
,,KIN PE  9B,2450,STRONG L M,5,,2,,,,,,,,3,,10
,,,4146,THOMAS J L,6,,,,,,,,,,1,,7
,,KIN PE  9C,2451,STRONG L M,2,,,,,,,,,,,,2
,,,4147,THOMAS J L,6,,,,,,,,,,,,6
,,KIN PE 10A,2452,BARNETT R T,8,,,,,,,,,,9,,17
,,,2455,BARNETT R T,7,3,1,,,,,2,,,3,,16
,,,2456,BARNETT R T,5,1,,,,,,1,,,2,,9

,,,2457,THOMAS J L,19,1,1,,,,,,,,,,21
,,KIN PE 10C,2458,OCAMPO J M,3,,,,,,,,,,,,3
,,KIN PE 11A,2459,SEYMOUR P S,8,,,,,,,1,,,3,,12
,,,2460,BARNETT R T,6,,2,,,,,1,,,4,,13
,,,2461,BARNETT R T,6,3,1,,,,,2,,,5,,17
,,KIN PE 11B,2462,SEYMOUR P S,3,,,,,,,,,,,,3
,,,2463,BARNETT R T,4,1,,,,1,,,,,3,,9
,,KIN PE 11C,2464,BARNETT R T,1,1,1,,,,,,,,,,3
,,KIN PE 11N,3478,MOSICH N W,1,,,,,,,,,,,,1
,,KIN PE 14A,3363,BARRON E A,8,3,6,,,,,,,,2,,19
,,KIN PE 14B,2466,BARRON E A,1,1,,,,,,,,,,,2
,,KIN PE 14C,2467,BARRON E A,,,1,,,,,,,,,,1
,,KIN PE 16A,2468,EASTCOTT M B,12,,,,,1,,,,,6,,19
,,,2469,EASTCOTT M B,13,2,,,,1,2,,,,4,1,23
,,KIN PE 16B,2470,EASTCOTT M B,14,1,1,,3,2,,,,,1,,22
,,KIN PE 17,2471,STRONG L M,8,,,,1,,,1,,,1,,11
,,KIN PE 29A,2474,CHAVEZ E C,16,,1,,,,,,,,5,,22
,,,4148,HUNER K A,2,1,1,1,,1,,,,,1,,7
,,KIN PE 34A,3304,BAGHDASARIAN G,6,,,,,,,,,,4,,10
,,KIN PE 34B,3305,BAGHDASARIAN G,3,,,,,,,,,,,,3
,,KIN PE 34C,3306,BAGHDASARIAN G,1,,,,,,,,,,,,1
,,KIN PE 41W,2475,EASTCOTT M B,9,,,1,,1,,,,,1,,12
,,KIN PE 43A,2477,"MINARS, JR R O",11,,,,,1,,,,,,,12
,,,2478,BENDITSON A,14,,,,,,,,,,1,,15
,,KIN PE 43B,2480,"MINARS, JR R O",7,,,,,,,,,,,,7
,,,3327,BENDITSON A,2,,,,,,,,,,1,,3
,,,3464,BENDITSON A,3,,,,,,,,,,1,,4
,,KIN PE 43C,2482,BENDITSON A,9,,,,,,,,,,,,9
,,,2485,PIERCE T L,5,,,,,,,,,,,,5
,,,2486,BENDITSON A,7,,,,,,,,,,1,,8
